Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.9900000	4000.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025427	0.0029310	0.0086130	0.0078516	-0.0025015	-0.0035738	-0.0097497	-0.0085584
97.2900000	28.0400009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017738	0.0018123	-0.0001081	-0.0005976	-0.0017900	-0.0023924	-0.0009062	-0.0001289
98.5350000	-3983.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027131	0.0026972	-0.0086736	-0.0095763	-0.0026722	-0.0032361	0.0076412	0.0087872
100.1150000	3999.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027053	0.0031522	0.0087039	0.0078513	-0.0026819	-0.0037887	-0.0098194	-0.0085495
101.3800000	28.0799999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019179	0.0019848	-0.0000806	-0.0006164	-0.0019303	-0.0025529	-0.0009256	-0.0000999
102.7300000	-3982.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028960	0.0029192	-0.0086629	-0.0096343	-0.0028633	-0.0034569	0.0076386	0.0088583
104.2900000	3998.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028956	0.0033862	0.0087739	0.0078541	-0.0028792	-0.0040121	-0.0098758	-0.0085473
105.5700000	27.9699993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020662	0.0021696	-0.0000527	-0.0006427	-0.0020936	-0.0027405	-0.0009544	-0.0000690
106.9200000	-3980.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030828	0.0031481	-0.0086534	-0.0096933	-0.0030634	-0.0036856	0.0076431	0.0089365
108.4950000	3997.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030891	0.0036222	0.0088505	0.0078560	-0.0030837	-0.0042426	-0.0099323	-0.0085366
109.8250000	28.1700001	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0022306	0.0023657	-0.0000148	-0.0006639	-0.0022642	-0.0029304	-0.0009755	-0.0000327
111.0850000	-3979.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032832	0.0033903	-0.0086373	-0.0097538	-0.0032744	-0.0039229	0.0076441	0.0090165
112.6600000	3995.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032956	0.0038735	0.0089293	0.0078524	-0.0032963	-0.0044906	-0.0099916	-0.0085250
113.9350000	28.1900005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0024045	0.0025745	0.0000248	-0.0006901	-0.0024389	-0.0031366	-0.0010061	0.0000001
115.2900000	-3977.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034901	0.0036434	-0.0086213	-0.0098258	-0.0034971	-0.0041827	0.0076405	0.0090918
116.9850000	3994.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035057	0.0041456	0.0090164	0.0078435	-0.0035283	-0.0047571	-0.0100595	-0.0085146
118.3100000	28.2500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025908	0.0028040	0.0000647	-0.0007254	-0.0026371	-0.0033666	-0.0010312	0.0000394
119.7300000	-3976.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037188	0.0039180	-0.0086099	-0.0098984	-0.0037445	-0.0044652	0.0076324	0.0091738
121.3950000	3993.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037436	0.0044341	0.0090930	0.0078290	-0.0037821	-0.0050464	-0.0101359	-0.0085027
122.6850000	28.2299995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027949	0.0030492	0.0001053	-0.0007606	-0.0028476	-0.0036131	-0.0010720	0.0000820
124.0200000	-3974.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039556	0.0042078	-0.0085944	-0.0099734	-0.0039888	-0.0047493	0.0076292	0.0092580
125.6600000	3992.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039790	0.0047247	0.0091810	0.0078199	-0.0040221	-0.0053342	-0.0102110	-0.0084896
127.0700000	28.1499996	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029959	0.0032981	0.0001522	-0.0007973	-0.0030727	-0.0038698	-0.0011056	0.0001209
128.5200000	-3973.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042091	0.0045139	-0.0085748	-0.0100532	-0.0042577	-0.0050628	0.0076223	0.0093546
130.2400000	3991.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042458	0.0050498	0.0092834	0.0078169	-0.0043026	-0.0056575	-0.0102924	-0.0084746
131.5450000	28.2000008	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032352	0.0035815	0.0002025	-0.0008347	-0.0033080	-0.0041466	-0.0011499	0.0001670
132.9500000	-3972.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044722	0.0048294	-0.0085590	-0.0101379	-0.0045320	-0.0053809	0.0076196	0.0094517
134.6800000	3990.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045101	0.0053790	0.0093844	0.0078055	-0.0045809	-0.0059823	-0.0103760	-0.0084576
136.1200000	28.2099991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034771	0.0038797	0.0002537	-0.0008812	-0.0035704	-0.0044490	-0.0011942	0.0002201
137.3850000	-3972.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047468	0.0051597	-0.0085454	-0.0102326	-0.0048221	-0.0057172	0.0076018	0.0095449
138.9450000	3989.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047823	0.0057081	0.0094848	0.0077997	-0.0048618	-0.0063102	-0.0104596	-0.0084385
140.2700000	28.2800007	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037184	0.0041707	0.0003092	-0.0009192	-0.0038138	-0.0047363	-0.0012362	0.0002689
141.5200000	-3971.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050172	0.0054891	-0.0085236	-0.0103186	-0.0050975	-0.0060388	0.0076016	0.0096483
143.1650000	3989.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050545	0.0060437	0.0095867	0.0077955	-0.0051449	-0.0066452	-0.0105472	-0.0084202
144.5950000	28.0400009	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039727	0.0044851	0.0003638	-0.0009588	-0.0040815	-0.0050496	-0.0012795	0.0003275
145.8750000	-3970.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053057	0.0058385	-0.0085072	-0.0104132	-0.0054029	-0.0063914	0.0075959	0.0097626
147.5200000	3988.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053482	0.0064109	0.0096986	0.0077887	-0.0054510	-0.0070045	-0.0106477	-0.0084021
148.9550000	28.3299999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042456	0.0048152	0.0004222	-0.0010081	-0.0043678	-0.0053836	-0.0013298	0.0003851
150.2400000	-3969.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056094	0.0062062	-0.0084943	-0.0105124	-0.0057203	-0.0067667	0.0075944	0.0098819
151.9550000	3988.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056625	0.0067951	0.0098213	0.0077853	-0.0057824	-0.0073923	-0.0107585	-0.0083883
153.2600000	28.2700005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045342	0.0051629	0.0004770	-0.0010602	-0.0046672	-0.0057357	-0.0013820	0.0004395
154.6750000	-3969.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059302	0.0065939	-0.0084794	-0.0106307	-0.0060516	-0.0071504	0.0075862	0.0099977
156.2250000	3987.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059792	0.0071753	0.0099374	0.0077710	-0.0061003	-0.0077676	-0.0108684	-0.0083896
157.5500000	28.2199993	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0048264	0.0055153	0.0005400	-0.0011191	-0.0049552	-0.0060780	-0.0014326	0.0004995
